model,persona,category,construct,selection_rate,opportunities
google/gemini-2.5-flash-lite,P4,care_vs_autonomy,autonomy,0.8333333333333334,6
google/gemini-2.5-flash-lite,P4,care_vs_autonomy,care,0.16666666666666666,6
google/gemini-2.5-flash-lite,P4,care_vs_rule,care,0.2222222222222222,6
google/gemini-2.5-flash-lite,P4,care_vs_rule,rule,0.7777777777777778,6
google/gemini-2.5-flash-lite,P5,analytical_vs_autonomy,analytical,0.2222222222222222,6
google/gemini-2.5-flash-lite,P5,analytical_vs_autonomy,autonomy,0.7777777777777778,6
google/gemini-2.5-flash-lite,P5,analytical_vs_rule,analytical,0.8333333333333334,6
google/gemini-2.5-flash-lite,P5,analytical_vs_rule,rule,0.16666666666666666,6
google/gemini-2.5-flash-lite,P5,autonomy_vs_rule,autonomy,0.7777777777777777,6
google/gemini-2.5-flash-lite,P5,autonomy_vs_rule,rule,0.2222222222222222,6
google/gemini-2.5-flash-lite,P5,care_vs_analytical,analytical,0.6666666666666666,6
google/gemini-2.5-flash-lite,P5,care_vs_analytical,care,0.3333333333333333,6
google/gemini-2.5-flash-lite,P5,care_vs_autonomy,autonomy,0.8333333333333334,6
google/gemini-2.5-flash-lite,P5,care_vs_autonomy,care,0.16666666666666666,6
google/gemini-2.5-flash-lite,P5,care_vs_rule,care,0.16666666666666666,6
google/gemini-2.5-flash-lite,P5,care_vs_rule,rule,0.8333333333333334,6
qwen/qwen3-14b,P0,analytical_vs_autonomy,analytical,0.8333333333333334,6
qwen/qwen3-14b,P0,analytical_vs_autonomy,autonomy,0.16666666666666666,6
qwen/qwen3-14b,P0,analytical_vs_rule,analytical,0.7777777777777777,6
qwen/qwen3-14b,P0,analytical_vs_rule,rule,0.2222222222222222,6
qwen/qwen3-14b,P0,autonomy_vs_rule,autonomy,0.2222222222222222,6
qwen/qwen3-14b,P0,autonomy_vs_rule,rule,0.7777777777777777,6
qwen/qwen3-14b,P0,care_vs_analytical,analytical,0.3333333333333333,6
qwen/qwen3-14b,P0,care_vs_analytical,care,0.6666666666666666,6
qwen/qwen3-14b,P0,care_vs_autonomy,autonomy,0.38888888888888884,6
qwen/qwen3-14b,P0,care_vs_autonomy,care,0.611111111111111,6
qwen/qwen3-14b,P0,care_vs_rule,care,0.6666666666666666,6
qwen/qwen3-14b,P0,care_vs_rule,rule,0.3333333333333333,6
qwen/qwen3-14b,P1,analytical_vs_autonomy,analytical,0.9444444444444445,6
qwen/qwen3-14b,P1,analytical_vs_autonomy,autonomy,0.05555555555555555,6
qwen/qwen3-14b,P1,analytical_vs_rule,analytical,0.7777777777777777,6
qwen/qwen3-14b,P1,analytical_vs_rule,rule,0.2222222222222222,6
qwen/qwen3-14b,P1,autonomy_vs_rule,autonomy,0.1111111111111111,6
qwen/qwen3-14b,P1,autonomy_vs_rule,rule,0.8888888888888888,6
qwen/qwen3-14b,P1,care_vs_analytical,analytical,1.0,6
qwen/qwen3-14b,P1,care_vs_analytical,care,0.0,6
qwen/qwen3-14b,P1,care_vs_autonomy,autonomy,0.6666666666666666,6
qwen/qwen3-14b,P1,care_vs_autonomy,care,0.3333333333333333,6
qwen/qwen3-14b,P1,care_vs_rule,care,0.0,6
qwen/qwen3-14b,P1,care_vs_rule,rule,1.0,6
qwen/qwen3-14b,P2,analytical_vs_autonomy,analytical,0.3333333333333333,6
qwen/qwen3-14b,P2,analytical_vs_autonomy,autonomy,0.6666666666666666,6
qwen/qwen3-14b,P2,analytical_vs_rule,analytical,0.9444444444444445,6
qwen/qwen3-14b,P2,analytical_vs_rule,rule,0.05555555555555555,6
qwen/qwen3-14b,P2,autonomy_vs_rule,autonomy,0.8888888888888888,6
qwen/qwen3-14b,P2,autonomy_vs_rule,rule,0.1111111111111111,6
qwen/qwen3-14b,P2,care_vs_analytical,analytical,0.5555555555555555,6
qwen/qwen3-14b,P2,care_vs_analytical,care,0.4444444444444444,6
qwen/qwen3-14b,P2,care_vs_autonomy,autonomy,0.16666666666666666,6
qwen/qwen3-14b,P2,care_vs_autonomy,care,0.8333333333333334,6
qwen/qwen3-14b,P2,care_vs_rule,care,0.7777777777777777,6
qwen/qwen3-14b,P2,care_vs_rule,rule,0.2222222222222222,6
qwen/qwen3-14b,P3,analytical_vs_autonomy,analytical,0.05555555555555555,6
qwen/qwen3-14b,P3,analytical_vs_autonomy,autonomy,0.9444444444444443,6
qwen/qwen3-14b,P3,analytical_vs_rule,analytical,0.8888888888888888,6
qwen/qwen3-14b,P3,analytical_vs_rule,rule,0.1111111111111111,6
qwen/qwen3-14b,P3,autonomy_vs_rule,autonomy,0.8333333333333334,6
qwen/qwen3-14b,P3,autonomy_vs_rule,rule,0.16666666666666666,6
qwen/qwen3-14b,P3,care_vs_analytical,analytical,0.611111111111111,6
qwen/qwen3-14b,P3,care_vs_analytical,care,0.38888888888888884,6
qwen/qwen3-14b,P3,care_vs_autonomy,autonomy,0.6666666666666666,6
qwen/qwen3-14b,P3,care_vs_autonomy,care,0.3333333333333333,6
qwen/qwen3-14b,P3,care_vs_rule,care,0.5,6
qwen/qwen3-14b,P3,care_vs_rule,rule,0.5,6
qwen/qwen3-14b,P4,analytical_vs_autonomy,analytical,0.4444444444444444,6
qwen/qwen3-14b,P4,analytical_vs_autonomy,autonomy,0.5555555555555556,6
qwen/qwen3-14b,P4,analytical_vs_rule,analytical,0.16666666666666666,6
qwen/qwen3-14b,P4,analytical_vs_rule,rule,0.8333333333333334,6
qwen/qwen3-14b,P4,autonomy_vs_rule,autonomy,0.6666666666666666,6
qwen/qwen3-14b,P4,autonomy_vs_rule,rule,0.3333333333333333,6
qwen/qwen3-14b,P4,care_vs_analytical,analytical,0.2222222222222222,6
qwen/qwen3-14b,P4,care_vs_analytical,care,0.7777777777777777,6
qwen/qwen3-14b,P4,care_vs_autonomy,autonomy,0.8888888888888888,6
qwen/qwen3-14b,P4,care_vs_autonomy,care,0.1111111111111111,6
qwen/qwen3-14b,P4,care_vs_rule,care,0.38888888888888884,6
qwen/qwen3-14b,P4,care_vs_rule,rule,0.611111111111111,6
qwen/qwen3-14b,P5,analytical_vs_autonomy,analytical,0.1111111111111111,6
qwen/qwen3-14b,P5,analytical_vs_autonomy,autonomy,0.8888888888888888,6
qwen/qwen3-14b,P5,analytical_vs_rule,analytical,0.8333333333333334,6
qwen/qwen3-14b,P5,analytical_vs_rule,rule,0.16666666666666666,6
qwen/qwen3-14b,P5,autonomy_vs_rule,autonomy,0.9444444444444445,6
qwen/qwen3-14b,P5,autonomy_vs_rule,rule,0.05555555555555555,6
qwen/qwen3-14b,P5,care_vs_analytical,analytical,0.8888888888888888,6
qwen/qwen3-14b,P5,care_vs_analytical,care,0.1111111111111111,6
qwen/qwen3-14b,P5,care_vs_autonomy,autonomy,1.0,6
qwen/qwen3-14b,P5,care_vs_autonomy,care,0.0,6
qwen/qwen3-14b,P5,care_vs_rule,care,0.2222222222222222,6
qwen/qwen3-14b,P5,care_vs_rule,rule,0.7777777777777777,6
