persona,question_id,option_A,option_B,total_models,models_present,required_matching_models,consensus_choice,consensus_text,matching_count,matching_models,agreement_score,passes_threshold,model_choices
P0,PRPP29,Optimize an algorithm after measuring where it uses unnecessary time and resources.,Audit a system carefully to confirm that every required control is implemented.,2,2,2,B,Audit a system carefully to confirm that every required control is implemented.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP30,Apply the approved decision framework consistently across all comparable cases.,Examine whether the framework's assumptions remain valid in the current case.,2,2,2,B,Examine whether the framework's assumptions remain valid in the current case.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP31,Choose whichever tools you consider most suitable for completing the assignment.,Use the organization's approved tools so the work remains compatible and supportable.,2,2,2,B,Use the organization's approved tools so the work remains compatible and supportable.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP33,Adapt the plan independently when local conditions make another approach more practical.,Continue with the authorized field plan so activities remain coordinated and auditable.,2,2,2,B,Continue with the authorized field plan so activities remain coordinated and auditable.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP34,Refer the decision to the designated authority under the governance policy.,Use your own judgment because you are closest to the situation.,2,2,2,A,Refer the decision to the designated authority under the governance policy.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP35,Allow local teams to make decisions that fit their particular circumstances.,Require all teams to follow one central standard for consistent outcomes.,2,2,2,A,Allow local teams to make decisions that fit their particular circumstances.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP36,Use the validated project process and complete each required stage in order.,Organize the project in your own way and revise the stages when useful.,2,2,2,A,Use the validated project process and complete each required stage in order.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP01,Help a colleague talk through a stressful conflict that is affecting their work.,Trace the source of a recurring calculation error that is affecting the team's reports.,2,2,2,B,Trace the source of a recurring calculation error that is affecting the team's reports.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP02,Analyze survey results to determine why a community program is missing its targets.,Meet residents individually to understand how the program is affecting their daily lives.,2,2,2,A,Analyze survey results to determine why a community program is missing its targets.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP03,Support a student who feels overwhelmed and help them regain confidence.,Develop a rigorous solution to a difficult problem the class has not solved.,2,2,2,B,Develop a rigorous solution to a difficult problem the class has not solved.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP04,Examine performance logs to identify the exact cause of a system slowdown.,Interview frustrated users and help them work around the slowdown immediately.,2,2,2,A,Examine performance logs to identify the exact cause of a system slowdown.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP05,Listen to both people in a disagreement and help them reach a respectful resolution.,Compare the available evidence and determine which account is best supported.,2,2,2,B,Compare the available evidence and determine which account is best supported.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP06,Build a model that identifies the main causes of repeated service failures.,Guide affected people toward immediate support while the failures are being addressed.,2,2,2,A,Build a model that identifies the main causes of repeated service failures.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP07,Coordinate a shared project that provides practical support to people who need it.,Develop an independent project whose direction and methods are entirely your choice.,2,2,2,B,Develop an independent project whose direction and methods are entirely your choice.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP09,Mentor a newcomer and remain available while they learn an unfamiliar task.,Use the same time to pursue a self-directed topic that you have wanted to explore.,2,2,2,B,Use the same time to pursue a self-directed topic that you have wanted to explore.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP10,Take sole responsibility for an independent field assignment with minimal supervision.,Join a support team that works closely with people facing an immediate difficulty.,2,2,2,A,Take sole responsibility for an independent field assignment with minimal supervision.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP11,Find a compromise that preserves the relationship between people with competing needs.,Make the decision that best protects each person's freedom to choose independently.,2,2,2,B,Make the decision that best protects each person's freedom to choose independently.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP12,Design a tool that lets every user control and customize their own workflow.,Design a tool that helps users coordinate support and look after one another.,2,2,2,A,Design a tool that lets every user control and customize their own workflow.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP13,Make a compassionate exception for an employee experiencing an unusual hardship.,Apply the same written policy so every employee is treated consistently.,2,2,2,B,Apply the same written policy so every employee is treated consistently.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP14,Enforce the published deadline equally for everyone in the course.,Extend the deadline for a student dealing with a serious personal difficulty.,2,2,2,A,Enforce the published deadline equally for everyone in the course.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP15,Tailor the response to the customer's circumstances and emotional concerns.,Follow the approved service procedure exactly from beginning to end.,2,2,2,B,Follow the approved service procedure exactly from beginning to end.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP16,Document the incident and process it through the established reporting system.,Meet the people involved and seek a restorative solution that repairs the harm.,2,2,2,A,Document the incident and process it through the established reporting system.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP17,Provide limited immediate assistance based on the person's needs while approval is pending.,Wait for the required authorization so assistance remains accountable and consistent.,2,2,2,B,Wait for the required authorization so assistance remains accountable and consistent.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP18,Use the formal escalation process and preserve a complete record of every action.,Respond personally and supportively to reduce the distress of those involved.,2,2,2,A,Use the formal escalation process and preserve a complete record of every action.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP20,Choose the direction that fits your own judgment when the decision is yours to make.,Choose the direction best supported after comparing evidence and testing key assumptions.,2,2,2,B,Choose the direction best supported after comparing evidence and testing key assumptions.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP21,Solve a formal reasoning problem that has a clearly verifiable answer.,Create a self-directed learning project with goals that you define yourself.,2,2,2,A,Solve a formal reasoning problem that has a clearly verifiable answer.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP22,Build an experimental prototype according to your own design instincts.,Compare alternatives systematically and select the design best supported by tests.,2,2,2,B,Compare alternatives systematically and select the design best supported by tests.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP23,Use performance data to identify and optimize the most effective working method.,Use the working method that best fits your own style without external performance targets.,2,2,2,A,Use performance data to identify and optimize the most effective working method.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP24,Select an unconventional approach because it gives you greater freedom to experiment.,Select the approach whose assumptions and expected results can be evaluated most rigorously.,2,2,2,B,Select the approach whose assumptions and expected results can be evaluated most rigorously.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP25,Investigate an unusual result until you understand the mechanism that produced it.,Complete the approved quality checklist and report whether every requirement passed.,2,2,2,A,Investigate an unusual result until you understand the mechanism that produced it.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP27,Diagnose the underlying pattern before deciding how the incident should be handled.,Use the established incident classification and follow its required escalation path.,2,2,2,A,Diagnose the underlying pattern before deciding how the incident should be handled.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP28,Implement the design specified by the applicable technical standard.,Compare several designs and derive which one best satisfies the underlying constraints.,2,2,2,B,Compare several designs and derive which one best satisfies the underlying constraints.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP30,Apply the approved decision framework consistently across all comparable cases.,Examine whether the framework's assumptions remain valid in the current case.,2,2,2,B,Examine whether the framework's assumptions remain valid in the current case.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP33,Adapt the plan independently when local conditions make another approach more practical.,Continue with the authorized field plan so activities remain coordinated and auditable.,2,2,2,B,Continue with the authorized field plan so activities remain coordinated and auditable.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP35,Allow local teams to make decisions that fit their particular circumstances.,Require all teams to follow one central standard for consistent outcomes.,2,2,2,B,Require all teams to follow one central standard for consistent outcomes.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P1,PRPP36,Use the validated project process and complete each required stage in order.,Organize the project in your own way and revise the stages when useful.,2,2,2,A,Use the validated project process and complete each required stage in order.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP37,Review the first of two equally important documents before reviewing the second.,Review the second of two equally important documents before reviewing the first.,2,2,2,A,Review the first of two equally important documents before reviewing the second.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP39,Store a temporary working file in the blue folder assigned to the project.,Store the same temporary working file in the green folder assigned to the project.,2,2,2,A,Store a temporary working file in the blue folder assigned to the project.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P1,PRPP40,Complete one of two equivalent routine checks before lunch.,Complete the other equivalent routine check before lunch.,2,2,2,A,Complete one of two equivalent routine checks before lunch.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP02,Analyze survey results to determine why a community program is missing its targets.,Meet residents individually to understand how the program is affecting their daily lives.,2,2,2,A,Analyze survey results to determine why a community program is missing its targets.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP03,Support a student who feels overwhelmed and help them regain confidence.,Develop a rigorous solution to a difficult problem the class has not solved.,2,2,2,B,Develop a rigorous solution to a difficult problem the class has not solved.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP06,Build a model that identifies the main causes of repeated service failures.,Guide affected people toward immediate support while the failures are being addressed.,2,2,2,A,Build a model that identifies the main causes of repeated service failures.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP10,Take sole responsibility for an independent field assignment with minimal supervision.,Join a support team that works closely with people facing an immediate difficulty.,2,2,2,A,Take sole responsibility for an independent field assignment with minimal supervision.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP11,Find a compromise that preserves the relationship between people with competing needs.,Make the decision that best protects each person's freedom to choose independently.,2,2,2,A,Find a compromise that preserves the relationship between people with competing needs.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP12,Design a tool that lets every user control and customize their own workflow.,Design a tool that helps users coordinate support and look after one another.,2,2,2,B,Design a tool that helps users coordinate support and look after one another.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP15,Tailor the response to the customer's circumstances and emotional concerns.,Follow the approved service procedure exactly from beginning to end.,2,2,2,A,Tailor the response to the customer's circumstances and emotional concerns.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP16,Document the incident and process it through the established reporting system.,Meet the people involved and seek a restorative solution that repairs the harm.,2,2,2,B,Meet the people involved and seek a restorative solution that repairs the harm.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP17,Provide limited immediate assistance based on the person's needs while approval is pending.,Wait for the required authorization so assistance remains accountable and consistent.,2,2,2,A,Provide limited immediate assistance based on the person's needs while approval is pending.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP18,Use the formal escalation process and preserve a complete record of every action.,Respond personally and supportively to reduce the distress of those involved.,2,2,2,A,Use the formal escalation process and preserve a complete record of every action.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP19,Evaluate competing hypotheses using a predefined evidence-based method.,Explore an original research direction without being constrained by a predefined method.,2,2,2,B,Explore an original research direction without being constrained by a predefined method.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP20,Choose the direction that fits your own judgment when the decision is yours to make.,Choose the direction best supported after comparing evidence and testing key assumptions.,2,2,2,A,Choose the direction that fits your own judgment when the decision is yours to make.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP23,Use performance data to identify and optimize the most effective working method.,Use the working method that best fits your own style without external performance targets.,2,2,2,A,Use performance data to identify and optimize the most effective working method.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP25,Investigate an unusual result until you understand the mechanism that produced it.,Complete the approved quality checklist and report whether every requirement passed.,2,2,2,A,Investigate an unusual result until you understand the mechanism that produced it.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP26,Keep using the certified procedure because it has passed the required review process.,Reassess the procedure after new evidence suggests that another method may work better.,2,2,2,B,Reassess the procedure after new evidence suggests that another method may work better.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP27,Diagnose the underlying pattern before deciding how the incident should be handled.,Use the established incident classification and follow its required escalation path.,2,2,2,A,Diagnose the underlying pattern before deciding how the incident should be handled.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP28,Implement the design specified by the applicable technical standard.,Compare several designs and derive which one best satisfies the underlying constraints.,2,2,2,B,Compare several designs and derive which one best satisfies the underlying constraints.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P2,PRPP29,Optimize an algorithm after measuring where it uses unnecessary time and resources.,Audit a system carefully to confirm that every required control is implemented.,2,2,2,A,Optimize an algorithm after measuring where it uses unnecessary time and resources.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P2,PRPP30,Apply the approved decision framework consistently across all comparable cases.,Examine whether the framework's assumptions remain valid in the current case.,2,2,2,B,Examine whether the framework's assumptions remain valid in the current case.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
