judge_model,condition,actual_persona,predicted_persona,count
openai/gpt-4.1-mini,choice_only,P1,P4,0
openai/gpt-4.1-mini,choice_only,P1,P5,0
openai/gpt-4.1-mini,choice_only,P1,OTHER,0
openai/gpt-4.1-mini,choice_only,P2,P1,1
openai/gpt-4.1-mini,choice_only,P2,P2,1
openai/gpt-4.1-mini,choice_only,P2,P3,0
openai/gpt-4.1-mini,choice_only,P2,P4,0
openai/gpt-4.1-mini,choice_only,P2,P5,0
openai/gpt-4.1-mini,choice_only,P2,OTHER,0
openai/gpt-4.1-mini,choice_only,P3,P1,0
openai/gpt-4.1-mini,choice_only,P3,P2,0
openai/gpt-4.1-mini,choice_only,P3,P3,2
openai/gpt-4.1-mini,choice_only,P3,P4,0
openai/gpt-4.1-mini,choice_only,P3,P5,0
openai/gpt-4.1-mini,choice_only,P3,OTHER,0
openai/gpt-4.1-mini,choice_only,P4,P1,2
openai/gpt-4.1-mini,choice_only,P4,P2,0
openai/gpt-4.1-mini,choice_only,P4,P3,0
openai/gpt-4.1-mini,choice_only,P4,P4,0
openai/gpt-4.1-mini,choice_only,P4,P5,0
openai/gpt-4.1-mini,choice_only,P4,OTHER,0
openai/gpt-4.1-mini,choice_only,P5,P1,1
openai/gpt-4.1-mini,choice_only,P5,P2,0
openai/gpt-4.1-mini,choice_only,P5,P3,1
openai/gpt-4.1-mini,choice_only,P5,P4,0
openai/gpt-4.1-mini,choice_only,P5,P5,0
openai/gpt-4.1-mini,choice_only,P5,OTHER,0
openai/gpt-5-nano,choice_and_explanation,P0,P1,1
openai/gpt-5-nano,choice_and_explanation,P0,P2,0
openai/gpt-5-nano,choice_and_explanation,P0,P3,0
openai/gpt-5-nano,choice_and_explanation,P0,P4,0
openai/gpt-5-nano,choice_and_explanation,P0,P5,0
openai/gpt-5-nano,choice_and_explanation,P0,OTHER,1
openai/gpt-5-nano,choice_and_explanation,P1,P1,2
openai/gpt-5-nano,choice_and_explanation,P1,P2,0
openai/gpt-5-nano,choice_and_explanation,P1,P3,0
openai/gpt-5-nano,choice_and_explanation,P1,P4,0
openai/gpt-5-nano,choice_and_explanation,P1,P5,0
openai/gpt-5-nano,choice_and_explanation,P1,OTHER,0
openai/gpt-5-nano,choice_and_explanation,P2,P1,0
openai/gpt-5-nano,choice_and_explanation,P2,P2,2
openai/gpt-5-nano,choice_and_explanation,P2,P3,0
openai/gpt-5-nano,choice_and_explanation,P2,P4,0
openai/gpt-5-nano,choice_and_explanation,P2,P5,0
openai/gpt-5-nano,choice_and_explanation,P2,OTHER,0
openai/gpt-5-nano,choice_and_explanation,P3,P1,0
openai/gpt-5-nano,choice_and_explanation,P3,P2,0
openai/gpt-5-nano,choice_and_explanation,P3,P3,2
openai/gpt-5-nano,choice_and_explanation,P3,P4,0
openai/gpt-5-nano,choice_and_explanation,P3,P5,0
openai/gpt-5-nano,choice_and_explanation,P3,OTHER,0
openai/gpt-5-nano,choice_and_explanation,P4,P1,0
openai/gpt-5-nano,choice_and_explanation,P4,P2,0
openai/gpt-5-nano,choice_and_explanation,P4,P3,0
openai/gpt-5-nano,choice_and_explanation,P4,P4,2
openai/gpt-5-nano,choice_and_explanation,P4,P5,0
openai/gpt-5-nano,choice_and_explanation,P4,OTHER,0
openai/gpt-5-nano,choice_and_explanation,P5,P1,0
openai/gpt-5-nano,choice_and_explanation,P5,P2,0
openai/gpt-5-nano,choice_and_explanation,P5,P3,0
openai/gpt-5-nano,choice_and_explanation,P5,P4,0
openai/gpt-5-nano,choice_and_explanation,P5,P5,2
openai/gpt-5-nano,choice_and_explanation,P5,OTHER,0
openai/gpt-5-nano,choice_only,P0,P1,1
openai/gpt-5-nano,choice_only,P0,P2,1
openai/gpt-5-nano,choice_only,P0,P3,0
openai/gpt-5-nano,choice_only,P0,P4,0
openai/gpt-5-nano,choice_only,P0,P5,0
openai/gpt-5-nano,choice_only,P0,OTHER,0
openai/gpt-5-nano,choice_only,P1,P1,2
openai/gpt-5-nano,choice_only,P1,P2,0
openai/gpt-5-nano,choice_only,P1,P3,0
openai/gpt-5-nano,choice_only,P1,P4,0
openai/gpt-5-nano,choice_only,P1,P5,0
openai/gpt-5-nano,choice_only,P1,OTHER,0
openai/gpt-5-nano,choice_only,P2,P1,2
openai/gpt-5-nano,choice_only,P2,P2,0
openai/gpt-5-nano,choice_only,P2,P3,0
openai/gpt-5-nano,choice_only,P2,P4,0
openai/gpt-5-nano,choice_only,P2,P5,0
openai/gpt-5-nano,choice_only,P2,OTHER,0
openai/gpt-5-nano,choice_only,P3,P1,0
openai/gpt-5-nano,choice_only,P3,P2,0
openai/gpt-5-nano,choice_only,P3,P3,2
openai/gpt-5-nano,choice_only,P3,P4,0
openai/gpt-5-nano,choice_only,P3,P5,0
openai/gpt-5-nano,choice_only,P3,OTHER,0
openai/gpt-5-nano,choice_only,P4,P1,2
openai/gpt-5-nano,choice_only,P4,P2,0
openai/gpt-5-nano,choice_only,P4,P3,0
openai/gpt-5-nano,choice_only,P4,P4,0
openai/gpt-5-nano,choice_only,P4,P5,0
openai/gpt-5-nano,choice_only,P4,OTHER,0
openai/gpt-5-nano,choice_only,P5,P1,2
openai/gpt-5-nano,choice_only,P5,P2,0
openai/gpt-5-nano,choice_only,P5,P3,0
openai/gpt-5-nano,choice_only,P5,P4,0
openai/gpt-5-nano,choice_only,P5,P5,0
openai/gpt-5-nano,choice_only,P5,OTHER,0
